specificity_target,threshold_train,sensitivity,specificity,PPV_at_pi,TP_per_100k,FP_per_100k,referrals_per_100k,split
0.999,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
0.95,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.97,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.98,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.99,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.995,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.999,0.6761514677243513,0.99999999999975,0.10714285714285332,0.0027991602519205788,249.9999999999375,89062.50000000038,89312.50000000032,15
0.95,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.97,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.98,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.99,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.995,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.999,0.6582758587579395,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,16
0.95,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.97,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.98,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.99,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.995,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.999,0.5703058947602427,0.6249999999999218,0.3333333333333195,0.0023441162681630437,156.24999999998045,66500.00000000138,66656.25000000137,17
0.95,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.97,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.98,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.99,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.995,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.999,0.6427836822301728,0.8888888888887901,0.21739130434781664,0.002838542470145049,222.22222222219753,78065.2173913053,78287.4396135275,18
0.95,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
0.97,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
0.98,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
0.99,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
0.995,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
0.999,0.6948971079313111,0.9999999999998334,0.07692307692307397,0.002707769214743536,249.99999999995833,92076.92307692337,92326.92307692333,19
